Ti2Se2-NiSe-NM,Ti2Se2-NiSe-NM
Ti2Te2-NiSe-NM,Ti2Te2-NiSe-NM
V2O2-RhO-NM,V2O2-RhO-NM
V2S2-NiSe-FM,V2S2-NiSe-FM
V2S2-NiSe-NM,V2S2-NiSe-NM
V2S2-NiSe-AFM,V2S2-NiSe-AFM
V2Se2-NiSe-NM,V2Se2-NiSe-NM
V2Se2-NiSe-AFM,V2Se2-NiSe-AFM
V2Te2-NiSe-FM,V2Te2-NiSe-FM
V2Te2-NiSe-NM,V2Te2-NiSe-NM
W2O2-AuSe-NM,W2O2-AuSe-NM
W2S2-AuSe-NM,W2S2-AuSe-NM
W2Se2-NiSe-NM,W2Se2-NiSe-NM
W2Te2-NiSe-NM,W2Te2-NiSe-NM
Zr2O2-AuSe-FM,Zr2O2-AuSe-FM
Zr2O2-AuSe-NM,Zr2O2-AuSe-NM
Zr2S2-NiSe-NM,Zr2S2-NiSe-NM
Zr2Se2-NiSe-NM,Zr2Se2-NiSe-NM
Zr2Te2-NiSe-NM,Zr2Te2-NiSe-NM
AlAs-BN-NM,AlAs-BN-NM
AlN-BN-NM,AlN-BN-NM
AlSb-GeSe-NM,AlSb-GeSe-NM
AsB-BN-NM,AsB-BN-NM
BN-BN-NM,BN-BN-NM
BP-BN-NM,BP-BN-NM
BSb-BN-NM,BSb-BN-NM
GaAs-GeSe-NM,GaAs-GeSe-NM
GaN-BN-NM,GaN-BN-NM
GaP-GeSe-NM,GaP-GeSe-NM
GeO-GeSe-NM,GeO-GeSe-NM
GeS-GeSe-NM,GeS-GeSe-NM
GeSe-GeSe-NM,GeSe-GeSe-NM
GeTe-GeSe-NM,GeTe-GeSe-NM
HgO-BN-NM,HgO-BN-NM
HgS-BN-NM,HgS-BN-NM
HgSe-GeSe-NM,HgSe-GeSe-NM
HgTe-GeSe-NM,HgTe-GeSe-NM
InAs-GeSe-NM,InAs-GeSe-NM
InN-BN-NM,InN-BN-NM
InP-GeSe-NM,InP-GeSe-NM
InSb-GeSe-NM,InSb-GeSe-NM
PbO-GeSe-NM,PbO-GeSe-NM
PbS-GeSe-NM,PbS-GeSe-NM
PbSe-GeSe-NM,PbSe-GeSe-NM
PbTe-GeSe-NM,PbTe-GeSe-NM
SnO-GeSe-NM,SnO-GeSe-NM
SnS-GeSe-NM,SnS-GeSe-NM
SnSe-GeSe-NM,SnSe-GeSe-NM
SnTe-GeSe-NM,SnTe-GeSe-NM
AsBrS-BiTeI-NM,AsBrS-BiTeI-NM
AsClS-BiTeI-NM,AsClS-BiTeI-NM
AsBrSe-BiTeI-NM,AsBrSe-BiTeI-NM
AsClSe-BiTeI-NM,AsClSe-BiTeI-NM
AsISe-BiTeI-NM,AsISe-BiTeI-NM
AsIS-BiTeI-NM,AsIS-BiTeI-NM
AsBrTe-BiTeI-NM,AsBrTe-BiTeI-NM
AsClTe-BiTeI-NM,AsClTe-BiTeI-NM
AsITe-BiTeI-NM,AsITe-BiTeI-NM
BiBrS-BiTeI-NM,BiBrS-BiTeI-NM
BiClS-BiTeI-NM,BiClS-BiTeI-NM
BiBrSe-BiTeI-NM,BiBrSe-BiTeI-NM
BiClSe-BiTeI-NM,BiClSe-BiTeI-NM
BiISe-BiTeI-NM,BiISe-BiTeI-NM
BiIS-BiTeI-NM,BiIS-BiTeI-NM
BiBrTe-BiTeI-NM,BiBrTe-BiTeI-NM
BiClTe-BiTeI-NM,BiClTe-BiTeI-NM
BiITe-BiTeI-NM,BiITe-BiTeI-NM
BrSSb-BiTeI-NM,BrSSb-BiTeI-NM
ClSSb-BiTeI-NM,ClSSb-BiTeI-NM
BrSbSe-BiTeI-NM,BrSbSe-BiTeI-NM
ClSbSe-BiTeI-NM,ClSbSe-BiTeI-NM
ISbSe-BiTeI-NM,ISbSe-BiTeI-NM
ISSb-BiTeI-NM,ISSb-BiTeI-NM
BrSbTe-BiTeI-NM,BrSbTe-BiTeI-NM
ClSbTe-BiTeI-NM,ClSbTe-BiTeI-NM
ISbTe-BiTeI-NM,ISbTe-BiTeI-NM
BiWSb-BiTeI-NM,BiWSb-BiTeI-NM
WBrI-BiTeI-NM,WBrI-BiTeI-NM
WSeTe-BiTeI-NM,WSeTe-BiTeI-NM
WSSe-BiTeI-NM,WSSe-BiTeI-NM
BiZrAs-BiTeI-NM,BiZrAs-BiTeI-NM
ZrAsSb-BiTeI-NM,ZrAsSb-BiTeI-NM
ZrBrCl-BiTeI-NM,ZrBrCl-BiTeI-NM
ZrBrI-BiTeI-NM,ZrBrI-BiTeI-NM
ZrSeTe-BiTeI-NM,ZrSeTe-BiTeI-NM
ZrSSe-BiTeI-NM,ZrSSe-BiTeI-NM
ZrSTe-BiTeI-NM,ZrSTe-BiTeI-NM
BiCrAs-BiTeI-NM,BiCrAs-BiTeI-NM
CrAsSb-BiTeI-FM,CrAsSb-BiTeI-FM
CrAsSb-BiTeI-NM,CrAsSb-BiTeI-NM
BiCrSb-BiTeI-FM,BiCrSb-BiTeI-FM
CrBrCl-BiTeI-FM,CrBrCl-BiTeI-FM
CrBrI-BiTeI-FM,CrBrI-BiTeI-FM
CrClI-BiTeI-FM,CrClI-BiTeI-FM
CrSeTe-BiTeI-NM,CrSeTe-BiTeI-NM
CrSSe-BiTeI-NM,CrSSe-BiTeI-NM
CrSTe-BiTeI-NM,CrSTe-BiTeI-NM
BiHfAs-BiTeI-NM,BiHfAs-BiTeI-NM
HfAsSb-BiTeI-NM,HfAsSb-BiTeI-NM
BiHfSb-BiTeI-NM,BiHfSb-BiTeI-NM
HfBrCl-BiTeI-NM,HfBrCl-BiTeI-NM
HfBrI-BiTeI-NM,HfBrI-BiTeI-NM
HfClI-BiTeI-NM,HfClI-BiTeI-NM
HfSeTe-BiTeI-NM,HfSeTe-BiTeI-NM
HfSSe-BiTeI-NM,HfSSe-BiTeI-NM
HfSTe-BiTeI-NM,HfSTe-BiTeI-NM
BiMoAs-BiTeI-NM,BiMoAs-BiTeI-NM
MoAsSb-BiTeI-NM,MoAsSb-BiTeI-NM
BiMoSb-BiTeI-NM,BiMoSb-BiTeI-NM
MoBrCl-BiTeI-NM,MoBrCl-BiTeI-NM
MoBrI-BiTeI-NM,MoBrI-BiTeI-NM
MoClI-BiTeI-NM,MoClI-BiTeI-NM
MoSeTe-BiTeI-NM,MoSeTe-BiTeI-NM
MoSSe-BiTeI-NM,MoSSe-BiTeI-NM
MoSTe-BiTeI-NM,MoSTe-BiTeI-NM
BiNbAs-BiTeI-NM,BiNbAs-BiTeI-NM
NbAsSb-BiTeI-NM,NbAsSb-BiTeI-NM
BiNbSb-BiTeI-NM,BiNbSb-BiTeI-NM
NbBrCl-BiTeI-NM,NbBrCl-BiTeI-NM
NbBrI-BiTeI-NM,NbBrI-BiTeI-NM
NbClI-BiTeI-NM,NbClI-BiTeI-NM
NbSeTe-BiTeI-NM,NbSeTe-BiTeI-NM
NbSSe-BiTeI-NM,NbSSe-BiTeI-NM
NbSTe-BiTeI-NM,NbSTe-BiTeI-NM
BiTaAs-BiTeI-NM,BiTaAs-BiTeI-NM
TaAsSb-BiTeI-NM,TaAsSb-BiTeI-NM
BiTaSb-BiTeI-NM,BiTaSb-BiTeI-NM
TaBrCl-BiTeI-NM,TaBrCl-BiTeI-NM
TaBrI-BiTeI-NM,TaBrI-BiTeI-NM
TaClI-BiTeI-NM,TaClI-BiTeI-NM
TaSeTe-BiTeI-NM,TaSeTe-BiTeI-NM
TaSSe-BiTeI-NM,TaSSe-BiTeI-NM
TaSTe-BiTeI-NM,TaSTe-BiTeI-NM
BiTiAs-BiTeI-NM,BiTiAs-BiTeI-NM
TiAsSb-BiTeI-NM,TiAsSb-BiTeI-NM
BiTiSb-BiTeI-NM,BiTiSb-BiTeI-NM
TiBrCl-BiTeI-FM,TiBrCl-BiTeI-FM
TiBrCl-BiTeI-NM,TiBrCl-BiTeI-NM
TiBrI-BiTeI-FM,TiBrI-BiTeI-FM
TiClI-BiTeI-FM,TiClI-BiTeI-FM
TiSeTe-BiTeI-NM,TiSeTe-BiTeI-NM
TiSSe-BiTeI-NM,TiSSe-BiTeI-NM
TiSTe-BiTeI-NM,TiSTe-BiTeI-NM
BiVAs-BiTeI-NM,BiVAs-BiTeI-NM
VAsSb-BiTeI-NM,VAsSb-BiTeI-NM
BiVSb-BiTeI-FM,BiVSb-BiTeI-FM
BiVSb-BiTeI-NM,BiVSb-BiTeI-NM
VBrCl-BiTeI-FM,VBrCl-BiTeI-FM
VBrI-BiTeI-FM,VBrI-BiTeI-FM
VClI-BiTeI-FM,VClI-BiTeI-FM
VSeTe-BiTeI-FM,VSeTe-BiTeI-FM
VSSe-BiTeI-FM,VSSe-BiTeI-FM
VSSe-BiTeI-NM,VSSe-BiTeI-NM
VSTe-BiTeI-FM,VSTe-BiTeI-FM
BiWAs-BiTeI-NM,BiWAs-BiTeI-NM
WAsSb-BiTeI-NM,WAsSb-BiTeI-NM
WBrCl-BiTeI-NM,WBrCl-BiTeI-NM
WClI-BiTeI-NM,WClI-BiTeI-NM
WSTe-BiTeI-NM,WSTe-BiTeI-NM
BiZrSb-BiTeI-NM,BiZrSb-BiTeI-NM
ZrClI-BiTeI-NM,ZrClI-BiTeI-NM
As2-C-NM,As2-C-NM
C2-C-NM,C2-C-NM
Ge2-C-NM,Ge2-C-NM
Si2-C-NM,Si2-C-NM
Sn2-C-NM,Sn2-C-NM
As2C6-C3N-NM,As2C6-C3N-NM
As2Ge6-C3N-NM,As2Ge6-C3N-NM
As2Si6-C3N-NM,As2Si6-C3N-NM
Bi2C6-C3N-NM,Bi2C6-C3N-NM
Bi2Ge6-C3N-NM,Bi2Ge6-C3N-NM
Bi2Pb6-C3N-NM,Bi2Pb6-C3N-NM
Bi2Si6-C3N-NM,Bi2Si6-C3N-NM
Bi2Sn6-C3N-NM,Bi2Sn6-C3N-NM
C6N2-C3N-NM,C6N2-C3N-NM
C6P2-C3N-NM,C6P2-C3N-NM
C6Sb2-C3N-NM,C6Sb2-C3N-NM
Ge6N2-C3N-NM,Ge6N2-C3N-NM
Ge6P2-C3N-NM,Ge6P2-C3N-NM
Ge6Sb2-C3N-NM,Ge6Sb2-C3N-NM
N2Si6-C3N-NM,N2Si6-C3N-NM
P2Si6-C3N-NM,P2Si6-C3N-NM
Pb6As2-C3N-NM,Pb6As2-C3N-NM
Pb6N2-C3N-NM,Pb6N2-C3N-NM
Pb6P2-C3N-NM,Pb6P2-C3N-NM
Pb6Sb2-C3N-NM,Pb6Sb2-C3N-NM
Sb2Si6-C3N-NM,Sb2Si6-C3N-NM
